EMC Compliance Report
Generated Date,2025-07-24 11:32:34

Peak Analysis Results
Rank,Frequency (MHz),Amplitude (dBuV)
1,544.585,115.76
2,272.985,115.12
3,981.085,115.09
4,736.645,115.06
5,432.550,114.45
6,365.620,114.45
7,903.970,114.40
8,986.905,114.26
9,958.290,114.16
10,872.930,114.14
11,451.465,114.08
12,329.245,113.91
13,932.100,113.87
14,551.860,113.79
15,778.840,113.78
16,750.710,113.78
17,943.740,113.69
18,530.520,113.68
19,487.355,113.51
20,802.605,113.38

Compliance Check Results
Frequency (MHz),Measured (dBuV),Limit (dBuV),Margin (dB),Compliant
150.280,101.79,100.0,1.79,FAIL
325.365,101.59,100.0,1.59,FAIL
49.400,101.56,100.0,1.56,FAIL
464.075,101.45,100.0,1.45,FAIL
129.910,101.41,100.0,1.41,FAIL
500.450,101.27,100.0,1.27,FAIL
42.610,101.02,100.0,1.02,FAIL
92.080,101.01,100.0,1.01,FAIL
232.245,100.97,100.0,0.97,FAIL
879.235,100.80,100.0,0.80,FAIL
468.925,100.79,100.0,0.79,FAIL
356.890,100.72,100.0,0.72,FAIL
94.020,100.29,100.0,0.29,FAIL
448.070,99.83,100.0,-0.17,PASS
66.860,97.67,100.0,-2.33,PASS
154.645,96.88,100.0,-3.12,PASS
544.585,115.76,47.0,68.76,FAIL
272.985,115.12,47.0,68.12,FAIL
981.085,115.09,47.0,68.09,FAIL
736.645,115.06,47.0,68.06,FAIL
432.550,114.45,47.0,67.45,FAIL
365.620,114.45,47.0,67.45,FAIL
903.970,114.40,47.0,67.40,FAIL
986.905,114.26,47.0,67.26,FAIL
958.290,114.16,47.0,67.16,FAIL
872.930,114.14,47.0,67.14,FAIL
451.465,114.08,47.0,67.08,FAIL
329.245,113.91,47.0,66.91,FAIL
932.100,113.87,47.0,66.87,FAIL
551.860,113.79,47.0,66.79,FAIL
778.840,113.78,47.0,66.78,FAIL
750.710,113.78,47.0,66.78,FAIL
943.740,113.69,47.0,66.69,FAIL
530.520,113.68,47.0,66.68,FAIL
487.355,113.51,47.0,66.51,FAIL
802.605,113.38,47.0,66.38,FAIL
519.365,113.37,47.0,66.37,FAIL
323.910,113.35,47.0,66.35,FAIL
854.015,113.29,47.0,66.29,FAIL
936.950,113.24,47.0,66.24,FAIL
463.105,113.11,47.0,66.11,FAIL
220.120,113.09,40.0,73.09,FAIL
968.960,113.08,47.0,66.08,FAIL
693.965,113.02,47.0,66.02,FAIL
848.195,113.02,47.0,66.02,FAIL
493.175,113.00,47.0,66.00,FAIL
699.785,112.97,47.0,65.97,FAIL
437.400,112.94,47.0,65.94,FAIL
930.645,112.91,47.0,65.91,FAIL
347.190,112.88,47.0,65.88,FAIL
951.985,112.87,47.0,65.87,FAIL
316.635,112.86,47.0,65.86,FAIL
807.455,112.85,47.0,65.85,FAIL
840.920,112.84,47.0,65.84,FAIL
321.485,112.77,47.0,65.77,FAIL
967.020,112.75,47.0,65.75,FAIL
477.655,112.74,47.0,65.74,FAIL
288.990,112.73,47.0,65.73,FAIL
595.510,112.72,47.0,65.72,FAIL
584.355,112.65,47.0,65.65,FAIL
951.015,112.62,47.0,65.62,FAIL
789.510,112.58,47.0,65.58,FAIL
870.990,112.57,47.0,65.57,FAIL
992.725,112.50,47.0,65.50,FAIL
846.255,112.50,47.0,65.50,FAIL
528.580,112.47,47.0,65.47,FAIL
766.715,112.46,47.0,65.46,FAIL
585.810,112.45,47.0,65.45,FAIL
287.050,112.44,47.0,65.44,FAIL
945.680,112.44,47.0,65.44,FAIL
998.545,112.41,47.0,65.41,FAIL
308.875,112.40,47.0,65.40,FAIL
783.205,112.36,47.0,65.36,FAIL
971.385,112.29,47.0,65.29,FAIL
361.255,112.24,47.0,65.24,FAIL
923.370,112.23,47.0,65.23,FAIL
628.490,112.22,47.0,65.22,FAIL
283.170,112.20,47.0,65.20,FAIL
732.280,112.20,47.0,65.20,FAIL
919.005,112.12,47.0,65.12,FAIL
647.405,112.12,47.0,65.12,FAIL
948.590,112.12,47.0,65.12,FAIL
889.420,112.08,47.0,65.08,FAIL
243.400,112.07,47.0,65.07,FAIL
978.175,112.02,47.0,65.02,FAIL
360.285,111.93,47.0,64.93,FAIL
501.420,111.92,47.0,64.92,FAIL
589.690,111.91,47.0,64.91,FAIL
235.640,111.90,47.0,64.90,FAIL
929.675,111.88,47.0,64.88,FAIL
307.420,111.80,47.0,64.80,FAIL
531.975,111.78,47.0,64.78,FAIL
121.180,111.78,40.0,71.78,FAIL
128.455,111.73,40.0,71.73,FAIL
692.510,111.71,47.0,64.71,FAIL
496.085,111.64,47.0,64.64,FAIL
610.545,111.60,47.0,64.60,FAIL
223.030,111.59,40.0,71.59,FAIL
798.240,111.58,47.0,64.58,FAIL
140.095,111.54,40.0,71.54,FAIL
891.845,111.53,47.0,64.53,FAIL
682.325,111.50,47.0,64.50,FAIL
252.615,111.48,47.0,64.48,FAIL
876.325,111.46,47.0,64.46,FAIL
553.315,111.41,47.0,64.41,FAIL
402.965,111.41,47.0,64.41,FAIL
353.495,111.40,47.0,64.40,FAIL
868.565,111.37,47.0,64.37,FAIL
882.145,111.37,47.0,64.37,FAIL
938.890,111.35,47.0,64.35,FAIL
352.040,111.34,47.0,64.34,FAIL
291.415,111.32,47.0,64.32,FAIL
664.380,111.32,47.0,64.32,FAIL
834.615,111.30,47.0,64.30,FAIL
623.640,111.29,47.0,64.29,FAIL
378.715,111.27,47.0,64.27,FAIL
689.115,111.26,47.0,64.26,FAIL
492.205,111.26,47.0,64.26,FAIL
412.180,111.24,47.0,64.24,FAIL
777.385,111.24,47.0,64.24,FAIL
443.220,111.19,47.0,64.19,FAIL
167.740,111.19,40.0,71.19,FAIL
515.485,111.16,47.0,64.16,FAIL
369.985,111.15,47.0,64.15,FAIL
873.900,111.13,47.0,64.13,FAIL
883.115,111.11,47.0,64.11,FAIL
862.260,111.11,47.0,64.11,FAIL
718.215,111.09,47.0,64.09,FAIL
563.500,111.09,47.0,64.09,FAIL
469.895,111.09,47.0,64.09,FAIL
972.840,111.07,47.0,64.07,FAIL
854.985,111.07,47.0,64.07,FAIL
825.400,111.03,47.0,64.03,FAIL
804.060,111.01,47.0,64.01,FAIL
660.500,111.00,47.0,64.00,FAIL
459.225,111.00,47.0,64.00,FAIL
781.265,110.99,47.0,63.99,FAIL
43.580,110.99,40.0,70.99,FAIL
442.250,110.98,47.0,63.98,FAIL
858.865,110.98,47.0,63.98,FAIL
574.170,110.94,47.0,63.94,FAIL
678.930,110.94,47.0,63.94,FAIL
176.470,110.88,40.0,70.88,FAIL
721.125,110.85,47.0,63.85,FAIL
151.735,110.84,40.0,70.84,FAIL
681.355,110.81,47.0,63.81,FAIL
856.440,110.80,47.0,63.80,FAIL
395.690,110.78,47.0,63.78,FAIL
543.130,110.76,47.0,63.76,FAIL
525.185,110.75,47.0,63.75,FAIL
267.165,110.74,47.0,63.74,FAIL
902.030,110.74,47.0,63.74,FAIL
795.330,110.73,47.0,63.73,FAIL
475.715,110.72,47.0,63.72,FAIL
560.105,110.71,47.0,63.71,FAIL
507.240,110.71,47.0,63.71,FAIL
705.120,110.70,47.0,63.70,FAIL
616.365,110.68,47.0,63.68,FAIL
342.340,110.67,47.0,63.67,FAIL
823.460,110.67,47.0,63.67,FAIL
35.820,110.67,40.0,70.67,FAIL
119.240,110.65,40.0,70.65,FAIL
949.560,110.65,47.0,63.65,FAIL
648.375,110.64,47.0,63.64,FAIL
657.590,110.64,47.0,63.64,FAIL
665.350,110.63,47.0,63.63,FAIL
337.005,110.61,47.0,63.61,FAIL
490.265,110.60,47.0,63.60,FAIL
801.635,110.59,47.0,63.59,FAIL
157.555,110.56,40.0,70.56,FAIL
212.360,110.53,40.0,70.53,FAIL
169.680,110.51,40.0,70.51,FAIL
440.795,110.49,47.0,63.49,FAIL
770.595,110.49,47.0,63.49,FAIL
791.935,110.49,47.0,63.49,FAIL
416.060,110.47,47.0,63.47,FAIL
78.985,110.46,40.0,70.46,FAIL
207.995,110.45,40.0,70.45,FAIL
580.475,110.45,47.0,63.45,FAIL
572.230,110.42,47.0,63.42,FAIL
654.680,110.42,47.0,63.42,FAIL
928.705,110.39,47.0,63.39,FAIL
413.635,110.39,47.0,63.39,FAIL
165.315,110.38,40.0,70.38,FAIL
927.735,110.38,47.0,63.38,FAIL
625.095,110.36,47.0,63.36,FAIL
916.095,110.35,47.0,63.35,FAIL
816.185,110.34,47.0,63.34,FAIL
511.120,110.34,47.0,63.34,FAIL
62.010,110.34,40.0,70.34,FAIL
708.030,110.32,47.0,63.32,FAIL
863.715,110.32,47.0,63.32,FAIL
292.385,110.30,47.0,63.30,FAIL
403.935,110.29,47.0,63.29,FAIL
959.745,110.28,47.0,63.28,FAIL
746.830,110.28,47.0,63.28,FAIL
224.970,110.27,40.0,70.27,FAIL
392.295,110.26,47.0,63.26,FAIL
263.285,110.26,47.0,63.26,FAIL
398.600,110.25,47.0,63.25,FAIL
466.015,110.24,47.0,63.24,FAIL
749.255,110.23,47.0,63.23,FAIL
405.390,110.22,47.0,63.22,FAIL
363.195,110.22,47.0,63.22,FAIL
753.620,110.21,47.0,63.21,FAIL
288.020,110.20,47.0,63.20,FAIL
837.525,110.20,47.0,63.20,FAIL
173.075,110.18,40.0,70.18,FAIL
144.945,110.18,40.0,70.18,FAIL
695.420,110.17,47.0,63.17,FAIL
270.560,110.16,47.0,63.16,FAIL
535.855,110.15,47.0,63.15,FAIL
505.300,110.15,47.0,63.15,FAIL
741.980,110.13,47.0,63.13,FAIL
481.535,110.11,47.0,63.11,FAIL
55.220,110.11,40.0,70.11,FAIL
417.030,110.10,47.0,63.10,FAIL
394.235,110.09,47.0,63.09,FAIL
191.505,110.04,40.0,70.04,FAIL
197.810,110.01,40.0,70.01,FAIL
920.945,110.01,47.0,63.01,FAIL
296.265,109.98,47.0,62.98,FAIL
775.930,109.92,47.0,62.92,FAIL
126.030,109.92,40.0,69.92,FAIL
712.395,109.90,47.0,62.90,FAIL
333.610,109.89,47.0,62.89,FAIL
89.170,109.88,40.0,69.88,FAIL
355.435,109.87,47.0,62.87,FAIL
940.345,109.87,47.0,62.87,FAIL
351.070,109.86,47.0,62.86,FAIL
410.725,109.85,47.0,62.85,FAIL
954.410,109.85,47.0,62.85,FAIL
70.740,109.84,40.0,69.84,FAIL
593.085,109.83,47.0,62.83,FAIL
426.730,109.83,47.0,62.83,FAIL
829.765,109.82,47.0,62.82,FAIL
221.575,109.80,40.0,69.80,FAIL
671.655,109.79,47.0,62.79,FAIL
969.930,109.77,47.0,62.77,FAIL
491.235,109.77,47.0,62.77,FAIL
254.555,109.76,47.0,62.76,FAIL
612.000,109.75,47.0,62.75,FAIL
752.650,109.75,47.0,62.75,FAIL
890.390,109.75,47.0,62.75,FAIL
626.065,109.75,47.0,62.75,FAIL
211.390,109.71,40.0,69.71,FAIL
201.205,109.70,40.0,69.70,FAIL
280.260,109.69,47.0,62.69,FAIL
262.315,109.69,47.0,62.69,FAIL
827.825,109.68,47.0,62.68,FAIL
258.435,109.67,47.0,62.67,FAIL
819.095,109.66,47.0,62.66,FAIL
989.330,109.66,47.0,62.66,FAIL
728.400,109.64,47.0,62.64,FAIL
638.190,109.64,47.0,62.64,FAIL
915.125,109.63,47.0,62.63,FAIL
401.510,109.63,47.0,62.63,FAIL
188.110,109.63,40.0,69.63,FAIL
471.835,109.62,47.0,62.62,FAIL
467.955,109.59,47.0,62.59,FAIL
474.260,109.57,47.0,62.57,FAIL
653.225,109.56,47.0,62.56,FAIL
594.540,109.55,47.0,62.55,FAIL
805.515,109.54,47.0,62.54,FAIL
521.790,109.53,47.0,62.53,FAIL
81.895,109.51,40.0,69.51,FAIL
703.180,109.50,47.0,62.50,FAIL
974.780,109.48,47.0,62.48,FAIL
246.310,109.48,47.0,62.48,FAIL
886.510,109.47,47.0,62.47,FAIL
177.440,109.47,40.0,69.47,FAIL
698.815,109.47,47.0,62.47,FAIL
590.660,109.46,47.0,62.46,FAIL
596.480,109.45,47.0,62.45,FAIL
203.145,109.43,40.0,69.43,FAIL
672.625,109.42,47.0,62.42,FAIL
603.755,109.41,47.0,62.41,FAIL
637.220,109.40,47.0,62.40,FAIL
765.260,109.40,47.0,62.40,FAIL
919.975,109.39,47.0,62.39,FAIL
839.465,109.39,47.0,62.39,FAIL
279.290,109.33,47.0,62.33,FAIL
300.630,109.32,47.0,62.32,FAIL
772.050,109.32,47.0,62.32,FAIL
310.815,109.31,47.0,62.31,FAIL
302.570,109.31,47.0,62.31,FAIL
256.495,109.29,47.0,62.29,FAIL
899.605,109.26,47.0,62.26,FAIL
449.525,109.25,47.0,62.25,FAIL
894.270,109.25,47.0,62.25,FAIL
36.790,109.24,40.0,69.24,FAIL
774.475,109.23,47.0,62.23,FAIL
910.760,109.21,47.0,62.21,FAIL
613.455,109.18,47.0,62.18,FAIL
709.970,109.18,47.0,62.18,FAIL
145.915,109.17,40.0,69.17,FAIL
800.180,109.17,47.0,62.17,FAIL
759.925,109.16,47.0,62.16,FAIL
340.400,109.16,47.0,62.16,FAIL
95.960,109.15,40.0,69.15,FAIL
643.040,109.15,47.0,62.15,FAIL
111.965,109.13,40.0,69.13,FAIL
675.535,109.13,47.0,62.13,FAIL
537.795,109.12,47.0,62.12,FAIL
997.575,109.12,47.0,62.12,FAIL
181.805,109.12,40.0,69.12,FAIL
214.785,109.12,40.0,69.12,FAIL
558.165,109.11,47.0,62.11,FAIL
713.850,109.10,47.0,62.10,FAIL
109.055,109.09,40.0,69.09,FAIL
52.310,109.08,40.0,69.08,FAIL
961.200,109.07,47.0,62.07,FAIL
312.755,109.06,47.0,62.06,FAIL
456.800,109.06,47.0,62.06,FAIL
266.195,109.04,47.0,62.04,FAIL
397.630,109.04,47.0,62.04,FAIL
548.465,109.04,47.0,62.04,FAIL
494.630,109.04,47.0,62.04,FAIL
600.845,109.04,47.0,62.04,FAIL
706.575,108.95,47.0,61.95,FAIL
709.000,108.94,47.0,61.94,FAIL
748.285,108.94,47.0,61.94,FAIL
717.245,108.92,47.0,61.92,FAIL
498.995,108.91,47.0,61.91,FAIL
509.180,108.91,47.0,61.91,FAIL
575.625,108.91,47.0,61.91,FAIL
532.945,108.90,47.0,61.90,FAIL
696.390,108.88,47.0,61.88,FAIL
880.205,108.88,47.0,61.88,FAIL
821.035,108.83,47.0,61.83,FAIL
851.105,108.83,47.0,61.83,FAIL
666.805,108.82,47.0,61.82,FAIL
850.135,108.80,47.0,61.80,FAIL
371.925,108.79,47.0,61.79,FAIL
251.160,108.79,47.0,61.79,FAIL
309.845,108.77,47.0,61.77,FAIL
926.765,108.77,47.0,61.77,FAIL
345.250,108.77,47.0,61.77,FAIL
349.615,108.77,47.0,61.77,FAIL
555.255,108.75,47.0,61.75,FAIL
32.425,108.72,40.0,68.72,FAIL
924.825,108.71,47.0,61.71,FAIL
108.085,108.68,40.0,68.68,FAIL
400.055,108.67,47.0,61.67,FAIL
67.830,108.65,40.0,68.65,FAIL
293.355,108.64,47.0,61.64,FAIL
581.445,108.63,47.0,61.63,FAIL
991.270,108.62,47.0,61.62,FAIL
247.280,108.61,47.0,61.61,FAIL
229.335,108.60,40.0,68.60,FAIL
649.345,108.59,47.0,61.59,FAIL
241.460,108.58,47.0,61.58,FAIL
318.575,108.58,47.0,61.58,FAIL
380.170,108.58,47.0,61.58,FAIL
716.275,108.58,47.0,61.58,FAIL
644.495,108.57,47.0,61.57,FAIL
614.910,108.57,47.0,61.57,FAIL
453.405,108.56,47.0,61.56,FAIL
219.150,108.56,40.0,68.56,FAIL
458.255,108.56,47.0,61.56,FAIL
196.355,108.55,40.0,68.55,FAIL
745.860,108.53,47.0,61.53,FAIL
842.860,108.51,47.0,61.51,FAIL
239.035,108.51,47.0,61.51,FAIL
185.685,108.51,40.0,68.51,FAIL
907.850,108.50,47.0,61.50,FAIL
674.080,108.49,47.0,61.49,FAIL
238.065,108.48,47.0,61.48,FAIL
723.065,108.47,47.0,61.47,FAIL
348.160,108.46,47.0,61.46,FAIL
178.410,108.45,40.0,68.45,FAIL
875.355,108.45,47.0,61.45,FAIL
621.700,108.45,47.0,61.45,FAIL
632.370,108.44,47.0,61.44,FAIL
983.995,108.42,47.0,61.42,FAIL
996.120,108.40,47.0,61.40,FAIL
370.955,108.40,47.0,61.40,FAIL
430.610,108.39,47.0,61.39,FAIL
373.865,108.39,47.0,61.39,FAIL
661.955,108.37,47.0,61.37,FAIL
730.825,108.37,47.0,61.37,FAIL
407.330,108.36,47.0,61.36,FAIL
914.155,108.33,47.0,61.33,FAIL
619.760,108.32,47.0,61.32,FAIL
473.290,108.32,47.0,61.32,FAIL
634.795,108.31,47.0,61.31,FAIL
163.375,108.28,40.0,68.28,FAIL
435.945,108.28,47.0,61.28,FAIL
941.800,108.27,47.0,61.27,FAIL
452.435,108.27,47.0,61.27,FAIL
651.285,108.24,47.0,61.24,FAIL
272.015,108.24,47.0,61.24,FAIL
194.900,108.23,40.0,68.23,FAIL
636.250,108.22,47.0,61.22,FAIL
277.350,108.21,47.0,61.21,FAIL
688.145,108.20,47.0,61.20,FAIL
503.845,108.19,47.0,61.19,FAIL
454.375,108.18,47.0,61.18,FAIL
77.530,108.17,40.0,68.17,FAIL
387.930,108.17,47.0,61.17,FAIL
382.595,108.17,47.0,61.17,FAIL
844.800,108.15,47.0,61.15,FAIL
962.170,108.10,47.0,61.10,FAIL
787.570,108.09,47.0,61.09,FAIL
39.700,108.09,40.0,68.09,FAIL
966.050,108.06,47.0,61.06,FAIL
159.495,108.05,40.0,68.05,FAIL
906.395,108.05,47.0,61.05,FAIL
786.115,108.03,47.0,61.03,FAIL
444.675,108.02,47.0,61.02,FAIL
193.445,108.01,40.0,68.01,FAIL
131.850,108.00,40.0,68.00,FAIL
734.705,107.99,47.0,60.99,FAIL
934.525,107.96,47.0,60.96,FAIL
249.705,107.96,47.0,60.96,FAIL
965.080,107.96,47.0,60.96,FAIL
849.165,107.91,47.0,60.91,FAIL
677.475,107.91,47.0,60.91,FAIL
785.145,107.91,47.0,60.91,FAIL
479.595,107.88,47.0,60.88,FAIL
545.555,107.88,47.0,60.88,FAIL
538.765,107.86,47.0,60.86,FAIL
517.910,107.82,47.0,60.82,FAIL
523.245,107.80,47.0,60.80,FAIL
567.380,107.79,47.0,60.79,FAIL
933.070,107.77,47.0,60.77,FAIL
860.320,107.72,47.0,60.72,FAIL
331.185,107.71,47.0,60.71,FAIL
656.620,107.71,47.0,60.71,FAIL
602.785,107.67,47.0,60.67,FAIL
480.565,107.64,47.0,60.64,FAIL
755.560,107.64,47.0,60.64,FAIL
106.630,107.63,40.0,67.63,FAIL
956.350,107.63,47.0,60.63,FAIL
122.635,107.60,40.0,67.60,FAIL
406.360,107.58,47.0,60.58,FAIL
47.460,107.55,40.0,67.55,FAIL
617.335,107.55,47.0,60.55,FAIL
368.530,107.54,47.0,60.54,FAIL
358.345,107.54,47.0,60.54,FAIL
744.405,107.53,47.0,60.53,FAIL
606.665,107.53,47.0,60.53,FAIL
115.360,107.52,40.0,67.52,FAIL
604.725,107.50,47.0,60.50,FAIL
100.810,107.47,40.0,67.47,FAIL
810.365,107.47,47.0,60.47,FAIL
227.395,107.46,40.0,67.46,FAIL
639.645,107.45,47.0,60.45,FAIL
792.905,107.42,47.0,60.42,FAIL
815.215,107.42,47.0,60.42,FAIL
143.975,107.34,40.0,67.34,FAIL
597.935,107.32,47.0,60.32,FAIL
98.385,107.32,40.0,67.32,FAIL
797.270,107.30,47.0,60.30,FAIL
831.220,107.28,47.0,60.28,FAIL
579.505,107.27,47.0,60.27,FAIL
419.940,107.27,47.0,60.27,FAIL
335.550,107.26,47.0,60.26,FAIL
980.115,107.25,47.0,60.25,FAIL
683.295,107.25,47.0,60.25,FAIL
304.510,107.24,47.0,60.24,FAIL
888.450,107.21,47.0,60.21,FAIL
330.215,107.19,47.0,60.19,FAIL
985.935,107.18,47.0,60.18,FAIL
135.730,107.13,40.0,67.13,FAIL
427.700,107.13,47.0,60.13,FAIL
50.370,107.12,40.0,67.12,FAIL
117.785,107.12,40.0,67.12,FAIL
447.100,107.11,47.0,60.11,FAIL
375.805,107.10,47.0,60.10,FAIL
569.805,107.07,47.0,60.07,FAIL
192.475,107.06,40.0,67.06,FAIL
189.080,107.02,40.0,67.02,FAIL
641.585,106.98,47.0,59.98,FAIL
917.550,106.98,47.0,59.98,FAIL
343.310,106.98,47.0,59.98,FAIL
729.855,106.97,47.0,59.97,FAIL
46.005,106.95,40.0,66.95,FAIL
691.540,106.93,47.0,59.93,FAIL
160.950,106.92,40.0,66.92,FAIL
389.385,106.90,47.0,59.90,FAIL
761.865,106.86,47.0,59.86,FAIL
386.475,106.83,47.0,59.83,FAIL
618.790,106.80,47.0,59.80,FAIL
599.875,106.78,47.0,59.78,FAIL
75.590,106.75,40.0,66.75,FAIL
384.535,106.75,47.0,59.75,FAIL
976.720,106.74,47.0,59.74,FAIL
726.945,106.72,47.0,59.72,FAIL
684.265,106.71,47.0,59.71,FAIL
152.705,106.71,40.0,66.71,FAIL
513.545,106.71,47.0,59.71,FAIL
421.395,106.68,47.0,59.68,FAIL
234.670,106.68,47.0,59.68,FAIL
587.265,106.67,47.0,59.67,FAIL
630.915,106.66,47.0,59.66,FAIL
281.230,106.63,47.0,59.63,FAIL
367.560,106.63,47.0,59.63,FAIL
326.820,106.62,47.0,59.62,FAIL
228.365,106.62,40.0,66.62,FAIL
74.135,106.61,40.0,66.61,FAIL
838.495,106.61,47.0,59.61,FAIL
822.490,106.60,47.0,59.60,FAIL
260.375,106.59,47.0,59.59,FAIL
817.640,106.58,47.0,59.58,FAIL
908.820,106.57,47.0,59.57,FAIL
116.815,106.55,40.0,66.55,FAIL
303.540,106.52,47.0,59.52,FAIL
773.020,106.51,47.0,59.51,FAIL
231.275,106.49,47.0,59.49,FAIL
550.890,106.47,47.0,59.47,FAIL
424.790,106.46,47.0,59.46,FAIL
364.650,106.45,47.0,59.45,FAIL
64.435,106.43,40.0,66.43,FAIL
484.445,106.41,47.0,59.41,FAIL
877.780,106.40,47.0,59.40,FAIL
685.235,106.40,47.0,59.40,FAIL
925.795,106.38,47.0,59.38,FAIL
175.500,106.37,40.0,66.37,FAIL
72.195,106.33,40.0,66.33,FAIL
314.210,106.31,47.0,59.31,FAIL
295.295,106.30,47.0,59.30,FAIL
909.790,106.29,47.0,59.29,FAIL
305.480,106.28,47.0,59.28,FAIL
209.450,106.28,40.0,66.28,FAIL
812.305,106.27,47.0,59.27,FAIL
60.070,106.20,40.0,66.20,FAIL
465.045,106.18,47.0,59.18,FAIL
547.010,106.17,47.0,59.17,FAIL
568.350,106.16,47.0,59.16,FAIL
686.205,106.16,47.0,59.16,FAIL
607.635,106.14,47.0,59.14,FAIL
460.680,106.11,47.0,59.11,FAIL
446.130,106.10,47.0,59.10,FAIL
332.640,106.09,47.0,59.09,FAIL
120.210,106.04,40.0,66.04,FAIL
769.140,106.03,47.0,59.03,FAIL
768.170,106.02,47.0,59.02,FAIL
516.940,105.98,47.0,58.98,FAIL
466.985,105.94,47.0,58.94,FAIL
669.715,105.94,47.0,58.94,FAIL
710.940,105.90,47.0,58.90,FAIL
179.865,105.86,40.0,65.86,FAIL
65.405,105.83,40.0,65.83,FAIL
431.580,105.83,47.0,58.83,FAIL
486.385,105.82,47.0,58.82,FAIL
627.035,105.82,47.0,58.82,FAIL
885.540,105.78,47.0,58.78,FAIL
738.100,105.74,47.0,58.74,FAIL
205.085,105.73,40.0,65.73,FAIL
758.955,105.72,47.0,58.72,FAIL
743.435,105.72,47.0,58.72,FAIL
338.460,105.72,47.0,58.72,FAIL
298.205,105.69,47.0,58.69,FAIL
762.835,105.67,47.0,58.67,FAIL
206.055,105.61,40.0,65.61,FAIL
62.980,105.60,40.0,65.60,FAIL
79.955,105.59,40.0,65.59,FAIL
86.260,105.59,40.0,65.59,FAIL
97.415,105.52,40.0,65.52,FAIL
242.430,105.51,47.0,58.51,FAIL
82.865,105.49,40.0,65.49,FAIL
609.090,105.46,47.0,58.46,FAIL
429.640,105.46,47.0,58.46,FAIL
952.955,105.43,47.0,58.43,FAIL
808.910,105.40,47.0,58.40,FAIL
994.665,105.38,47.0,58.38,FAIL
38.245,105.37,40.0,65.37,FAIL
790.480,105.37,47.0,58.37,FAIL
578.535,105.35,47.0,58.35,FAIL
559.135,105.34,47.0,58.34,FAIL
565.925,105.29,47.0,58.29,FAIL
34.365,105.28,40.0,65.28,FAIL
852.075,105.28,47.0,58.28,FAIL
322.940,105.28,47.0,58.28,FAIL
659.530,105.23,47.0,58.23,FAIL
134.275,105.23,40.0,65.23,FAIL
571.260,105.22,47.0,58.22,FAIL
439.825,105.22,47.0,58.22,FAIL
301.600,105.15,47.0,58.15,FAIL
901.060,105.10,47.0,58.10,FAIL
667.775,105.09,47.0,58.09,FAIL
284.625,105.04,47.0,58.04,FAIL
904.940,105.00,47.0,58.00,FAIL
164.345,104.98,40.0,64.98,FAIL
687.175,104.96,47.0,57.96,FAIL
233.700,104.95,47.0,57.95,FAIL
240.005,104.92,47.0,57.92,FAIL
274.925,104.88,47.0,57.88,FAIL
895.725,104.82,47.0,57.82,FAIL
54.250,104.81,40.0,64.81,FAIL
248.250,104.76,47.0,57.76,FAIL
541.190,104.73,47.0,57.73,FAIL
156.100,104.68,40.0,64.68,FAIL
362.225,104.64,47.0,57.64,FAIL
137.185,104.62,40.0,64.62,FAIL
740.040,104.43,47.0,57.43,FAIL
269.590,104.40,47.0,57.40,FAIL
857.410,104.33,47.0,57.33,FAIL
520.820,104.33,47.0,57.33,FAIL
104.690,104.27,40.0,64.27,FAIL
866.140,104.27,47.0,57.27,FAIL
139.125,104.24,40.0,64.24,FAIL
629.460,104.19,47.0,57.19,FAIL
259.405,104.18,47.0,57.18,FAIL
757.015,104.13,47.0,57.13,FAIL
390.355,104.11,47.0,57.11,FAIL
147.370,104.09,40.0,64.09,FAIL
719.670,104.08,47.0,57.08,FAIL
984.965,104.07,47.0,57.07,FAIL
174.530,104.01,40.0,64.01,FAIL
408.785,103.97,47.0,56.97,FAIL
813.760,103.90,47.0,56.90,FAIL
434.490,103.83,47.0,56.83,FAIL
497.540,103.56,47.0,56.56,FAIL
592.115,103.55,47.0,56.55,FAIL
275.895,103.50,47.0,56.50,FAIL
148.340,103.47,40.0,63.47,FAIL
527.125,103.41,47.0,56.41,FAIL
418.485,103.37,47.0,56.37,FAIL
57.645,103.35,40.0,63.35,FAIL
836.070,103.34,47.0,56.34,FAIL
142.035,103.31,40.0,63.31,FAIL
90.625,103.28,40.0,63.28,FAIL
84.320,103.17,40.0,63.17,FAIL
540.220,103.16,47.0,56.16,FAIL
224.000,103.14,40.0,63.14,FAIL
912.215,103.10,47.0,56.10,FAIL
161.920,103.02,40.0,63.02,FAIL
534.400,103.01,47.0,56.01,FAIL
751.680,102.97,47.0,55.97,FAIL
41.640,102.90,40.0,62.90,FAIL
935.495,102.87,47.0,55.87,FAIL
320.030,102.87,47.0,55.87,FAIL
171.620,102.86,40.0,62.86,FAIL
31.455,102.70,40.0,62.70,FAIL
833.160,102.60,47.0,55.60,FAIL
190.050,102.59,40.0,62.59,FAIL
153.675,102.56,40.0,62.56,FAIL
724.520,102.56,47.0,55.56,FAIL
690.570,102.51,47.0,55.51,FAIL
217.695,102.38,40.0,62.38,FAIL
422.850,102.32,47.0,55.32,FAIL
103.235,102.25,40.0,62.25,FAIL
69.770,102.18,40.0,62.18,FAIL
93.050,102.05,40.0,62.05,FAIL
577.080,101.99,47.0,54.99,FAIL
124.575,101.98,40.0,61.98,FAIL
68.800,101.97,40.0,61.97,FAIL
896.695,101.96,47.0,54.96,FAIL
897.665,101.92,47.0,54.92,FAIL
